Район_OSM,Населенный_пункт_OSM,place,lat_np,lon_np,population_osm,np_clean,osm_id
,Хутор,hamlet,55.6190472,50.0399976,,,way/123003717
,Село-Чура,village,56.2663408,50.4797246,,-чура,way/284812218
,13 км,locality,54.4846758,52.5300519,,13 км,node/4598363800
,Абалачи,village,55.9387337,52.0465731,,абалачи,way/62313575
Тюлячинский район,Абди,village,55.8768034,50.7478696,,абди,node/803531474
Альметьевский район,Абдрахманово,village,54.7729585,52.4868908,,абдрахманово,way/37956650
Алькеевский район,Абдул-Салманы,hamlet,54.8817419,49.7487972,,абдул-салманы,node/838737090
,Абзябар,locality,56.0822913,49.7199585,,абзябар,node/762150052
,Абла,hamlet,56.0767447,49.2568494,,абла,way/182590153
,Абляскино,hamlet,54.5505675,50.7945432,,абляскино,way/363272980
Нурлатский район,Абрыскино,hamlet,54.5064243,50.5932101,,абрыскино,node/850799491
Ютазинский район,Абсалямово,village,54.5671784,53.4209097,,абсалямово,way/59932186
Тукаевский район,Авлаш,hamlet,55.5440925,52.0117147,,авлаш,way/229814907
,Агерзе,village,54.8304623,53.0039067,,агерзе,way/87317689
городской округ Агидель,Агидель,town,55.8749761,53.9730244,,агидель,way/123171280
,Агирово,hamlet,54.9697621,53.2327358,,агирово,way/191903415
Спасский район,Аграмаковка,village,54.9437277,49.6402876,,аграмаковка,way/68734775
,Агрокультура,hamlet,55.3077868,50.5726581,,агрокультура,way/70273292
Агрызский район,Агрыз,town,56.5166663,53.0161942,,агрыз,relation/2210653
Буинский район,Адав-Тулумбаево,village,54.9437884,48.3436796,,адав-тулумбаево,node/795365206
,Адаево,village,56.3100346,50.7529075,,адаево,way/357091392
Сармановский район,Азалаково,village,55.3334825,52.6420254,,азалаково,way/251220037
Аксубаевский район,Азат,hamlet,54.8003566,50.9133394,,азат,way/295013135
,Азбаба,hamlet,55.4165988,48.5374994,,азбаба,way/116792141
,Азево,village,56.0000351,53.1425951,,азево,way/118968421
,Азеево,village,55.2047854,51.0946816,,азеево,way/123250705
,Азимово,hamlet,55.2722702,48.7091786,,азимово,way/242251036
,Азимово-Курлебаш,village,55.3265133,48.8721228,,азимово-курлебаш,way/58474387
,Азметьево,hamlet,55.7824978,53.8573515,,азметьево,way/532551628
Азнакаевский район,Азнакаево,town,54.8592224,53.0719577,,азнакаево,relation/3438263
,Азьмушкино,village,55.7510469,52.5214753,,азьмушкино,relation/19211962
Актанышский район,Азякуль,hamlet,55.7523204,54.0135519,,азякуль,node/606106767
,Аишево,village,55.6302277,54.1304437,,аишево,way/176276422
,Айбаш,village,56.099685,48.9939809,,айбаш,way/56061228
,Айдарово,village,55.7617439,50.3825494,,айдарово,way/98978248
,Айталан,hamlet,55.8238431,51.5528995,,айталан,way/71436590
,Айша,village,55.8718544,48.6175076,,айша,relation/19208813
,Айшияз,hamlet,56.2907673,49.3205503,,айшияз,way/121804504
,Ак-Куль,hamlet,54.909264,48.3737204,,ак-куль,node/795365209
,Ак-Чишма,village,56.3325246,49.8590402,,ак-чишма,way/204203242
Ютазинский район,Ак-Юл,hamlet,54.5753852,53.2867054,,ак-юл,way/61228258
,Акбаш,village,54.5255639,53.2228038,,акбаш,way/60415127
,Акбулатово,hamlet,55.1183235,50.6160065,,акбулатово,way/70467597
Новошешминский район,Акбуре,village,54.9044161,51.2466723,,акбуре,node/852722568
,Акзигитово,village,55.6405127,48.063339,,акзигитово,way/225647092
Черемшанский район,Аккиреево,village,54.905661,51.410778,,аккиреево,node/337839156
